observationID,recordKey,gridReference,siteKey,siteName,featureKey,startDate,endDate,pTaxonVersionKey,taxonName,authority,commonName
463173019,4196,TL35,,,166276,09/02/2008,09/02/2008,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173022,4199,TL35,,,166276,24/01/2009,24/01/2009,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173025,4202,TL35,,,166276,06/01/2010,06/01/2010,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173027,4204,TL35,,,166276,15/02/2010,15/02/2010,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173029,4206,TL35,,,166276,16/01/2011,16/01/2011,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173031,4208,TL35,,,166276,30/01/2011,30/01/2011,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173034,23801,TL35,,,166276,25/02/2014,25/02/2014,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173036,23815,TL35,,,166276,29/12/2011,29/12/2011,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173224,12483,TR15,,,165363,11/01/1997,11/01/1997,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463173226,12485,TR15,,,165363,17/01/2001,17/01/2001,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463173227,12486,TR15,,,165363,24/01/2003,24/01/2003,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463173261,2278,TQ95,,,164145,14/01/2010,14/01/2010,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173283,21338,TQ85,,,161323,12/10/2013,12/10/2013,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173293,3524,TQ85,,,161323,21/01/2011,21/01/2011,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173295,12160,TQ95,,,164145,15/01/1997,15/01/1997,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173296,12161,TQ95,,,164145,07/02/1998,07/02/1998,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173297,12162,TQ95,,,164145,10/01/1999,10/01/1999,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173317,9563,SS59,,,154618,12/02/1994,12/02/1994,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173326,9718,SM80,,,150131,14/12/2003,14/12/2003,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173345,9763,SN51,,,150358,20/01/2008,20/01/2008,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173348,9857,SM80,,,150131,03/03/2003,03/03/2003,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173364,20045,SM80,,,150131,03/03/2013,03/03/2013,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173384,9312,SS59,,,154618,16/12/2001,16/12/2001,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173385,9313,SS59,,,154618,24/02/2002,24/02/2002,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173388,9316,SS59,,,154618,30/11/2002,30/11/2002,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173390,9318,SS59,,,154618,21/03/2004,21/03/2004,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173399,4562,TL65,,,168651,11/01/2004,11/01/2004,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173401,4564,TL65,,,168651,15/02/2004,15/02/2004,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173403,4566,TL65,,,168651,19/12/2004,19/12/2004,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173404,4567,TL65,,,168651,06/02/2005,06/02/2005,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173405,4568,TL65,,,168651,08/01/2006,08/01/2006,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173407,4570,TL65,,,168651,05/02/2006,05/02/2006,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173410,4573,TL65,,,168651,04/02/2007,04/02/2007,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173411,4574,TL65,,,168651,21/12/2008,21/12/2008,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173414,4577,TL65,,,168651,15/02/2009,15/02/2009,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173416,4579,TL65,,,168651,19/12/2009,19/12/2009,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173417,4580,TL65,,,168651,10/01/2010,10/01/2010,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173420,4583,TL65,,,168651,20/02/2010,20/02/2010,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173422,4585,TL65,,,168651,19/12/2010,19/12/2010,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173425,4588,TL65,,,168651,09/01/2011,09/01/2011,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173427,4590,TL65,,,168651,13/02/2011,13/02/2011,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
